info: Apr-16-2023 16:45:19: 	Success : null
info: Apr-16-2023 16:45:21: 	Success : 4ad39572-925d-4446-be24-7acccf28e96b
error: Apr-16-2023 17:07:12: 	SUCCESSFULLY AUTHENTICATED
error: Apr-16-2023 17:17:18: 	undefinedUnexpected socket close
error: Apr-16-2023 17:24:36: 	SUCCESSFULLY AUTHENTICATED
error: Apr-16-2023 17:28:52: 	SUCCESSFULLY AUTHENTICATED
error: Apr-16-2023 17:29:53: 	1265Data truncated for column 'symptom_name' at row 1
error: Apr-16-2023 21:30:34: 	SUCCESSFULLY AUTHENTICATED
error: Apr-25-2023 21:12:22: 	SUCCESSFULLY AUTHENTICATED
error: Apr-25-2023 21:13:01: 	SUCCESSFULLY AUTHENTICATED
error: Apr-25-2023 21:14:09: 	SUCCESSFULLY AUTHENTICATED
error: Apr-25-2023 21:14:43: 	SUCCESSFULLY AUTHENTICATED
error: Apr-25-2023 22:02:19: 	SUCCESSFULLY AUTHENTICATED
error: Apr-25-2023 22:03:18: 	SUCCESSFULLY AUTHENTICATED
error: Apr-25-2023 22:04:30: 	SUCCESSFULLY AUTHENTICATED
error: Apr-27-2023 21:28:56: 	SUCCESSFULLY AUTHENTICATED
error: Apr-27-2023 21:29:47: 	SUCCESSFULLY AUTHENTICATED
error: Apr-27-2023 21:31:18: 	SUCCESSFULLY AUTHENTICATED
error: Apr-27-2023 21:34:49: 	SUCCESSFULLY AUTHENTICATED
error: Apr-28-2023 20:26:19: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 09:39:21: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 09:41:31: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 09:41:56: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 09:42:13: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 13:18:17: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 13:32:36: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 14:00:54: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 14:01:49: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 15:35:20: 	SUCCESSFULLY AUTHENTICATED
error: Apr-29-2023 16:03:50: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:03:51: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:03:58: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:04:01: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:04:02: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:04:11: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:04:22: 	undefinedUnexpected socket close
error: Apr-29-2023 16:06:02: 	undefinedUnexpected socket close
error: Apr-29-2023 16:06:12: 	undefinedUnexpected socket close
error: Apr-29-2023 16:06:22: 	undefinedUnexpected socket close
error: Apr-29-2023 16:39:40: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:39:50: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:40:00: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:40:10: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:40:20: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:40:30: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:40:40: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:40:50: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:41:00: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:41:10: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:41:20: 	-4073connect EHOSTUNREACH 108.177.126.108:465
error: Apr-29-2023 16:41:49: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:41:50: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:42:01: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:42:11: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:42:30: 	undefinedClient network socket disconnected before secure TLS connection was established
error: Apr-29-2023 16:42:51: 	-4039connect ETIMEDOUT 108.177.127.109:465
error: Apr-29-2023 16:43:01: 	-4039connect ETIMEDOUT 108.177.127.109:465
error: Apr-29-2023 16:43:11: 	-4039connect ETIMEDOUT 108.177.127.109:465
error: Apr-29-2023 16:43:22: 	-4039connect ETIMEDOUT 108.177.127.109:465
error: Apr-29-2023 16:44:06: 	-4077read ECONNRESET
error: Apr-29-2023 20:11:31: 	SUCCESSFULLY AUTHENTICATED
error: Apr-30-2023 16:11:41: 	SUCCESSFULLY AUTHENTICATED
error: Apr-30-2023 20:00:02: 	SUCCESSFULLY AUTHENTICATED
error: Apr-30-2023 20:11:09: 	SUCCESSFULLY AUTHENTICATED
error: May-01-2023 07:29:51: 	SUCCESSFULLY AUTHENTICATED
error: May-01-2023 09:59:52: 	-3001getaddrinfo EAI_AGAIN smtp.gmail.com
error: May-01-2023 09:59:52: 	-3001getaddrinfo EAI_AGAIN smtp.gmail.com
error: May-01-2023 09:59:52: 	-3001getaddrinfo EAI_AGAIN smtp.gmail.com
error: May-01-2023 13:03:22: 	undefinedUnexpected socket close
error: May-01-2023 13:03:41: 	undefinedUnexpected socket close
error: May-01-2023 13:03:50: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:04:00: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:04:10: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:04:10: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:04:20: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:04:20: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:05:59: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:00: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:00: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:00: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:00: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:04: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:04: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:05: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:09: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:10: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:10: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:11: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:12: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:12: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:13: 	undefinedClient network socket disconnected before secure TLS connection was established
error: May-01-2023 13:06:22: 	undefinedUnexpected socket close
